NO,cagegory,Movie Name,File Size,Video Size,Video Length,Video Rate,Subtitle,File Name,filesize,disk
234,邵氏,醉马骝, 1.36 GiB,640 * 352, 1h 37mn,2009 Kbps,无字幕或内嵌字幕,醉马骝.Drunken.Monkey.2003.R3.LB.SB.DVDRip.x264.2Audio.AC3.iNT-NowYS.mkv,0,中国电影2_3T
235,邵氏,野姑娘, 698 MiB,704 * 368, 1h 27mn,1117 Kbps,无字幕或内嵌字幕,野姑娘.Sweet.and.Wild.1966.R3.SB.DVDRip.x264.AC3.iNT-NowYS.mkv,0,中国电影2_3T
236,邵氏,钟馗娘子, 1.60 GiB,864 * 480, 1h 37mn,2357 Kbps,无字幕或内嵌字幕,钟馗娘子.The.Lady.Hermit.1971.DVDRip.x264.AC3-CMCT.mkv,0,中国电影2_3T
237,邵氏,钻石艳盗, 1.36 GiB,716 * 352, 1h 47mn,1819 Kbps,无字幕或内嵌字幕,钻石艳盗.The.Venus.Tear.Diamond.1971.R3.SB.DVDRip.x264.AC3.iNT-NowYS.mkv,0,中国电影2_3T
238,邵氏,铁头皇帝, 1.37 GiB,716 * 368, 1h 35mn,2058 Kbps,无字幕或内嵌字幕,铁头皇帝.The.King.With.My.Face.1967.R3.SB.DVDRip.x264.AC3.iNT-NowYS.mkv,0,中国电影2_3T
239,邵氏,铁扇公主, 1.37 GiB,716 * 368, 1h 33mn,2098 Kbps,无字幕或内嵌字幕,铁扇公主.Princess.Iron.Fan.1966.R3.SB.DVDRip.x264.AC3.iNT-NowYS.mkv,0,中国电影2_3T
240,邵氏,铁手无情, 1.36 GiB,716 * 368, 1h 34mn,2064 Kbps,无字幕或内嵌字幕,铁手无情.The.Invincible.Fist.1969.R3.SB.DVDRip.x264.AC3.iNT-NowYS.mkv,0,中国电影2_3T
241,邵氏,铁观音, 1.36 GiB,716 * 368, 1h 52mn,1729 Kbps,无字幕或内嵌字幕,铁观音.Angel.with.the.Iron.Fists.1967.R3.SB.DVDRip.x264.AC3.iNT-NowYS.mkv,0,中国电影2_3T
242,邵氏,阴阳刀, 1.36 GiB,716 * 368, 1h 48mn,1802 Kbps,无字幕或内嵌字幕,阴阳刀.Twin.Blades.Of.Doom.1969.R3.SB.DVDRip.x264.AC3.iNT-NowYS.mkv,0,中国电影2_3T
243,邵氏,雪儿, 1.37 GiB,716 * 464, 1h 27mn,2249 Kbps,无字幕或内嵌字幕,雪儿.Cherie.1984.R3.SB.DVDRip.x264.2Audio.AC3.iNT-NowYS.mkv,0,中国电影2_3T
244,邵氏,霹雳拳, 1.37 GiB,712 * 368, 1h 31mn,2147 Kbps,无字幕或内嵌字幕,霹雳拳.Thunderbolt.Fist.1972.R1.SB.DVDRip.x264.2Audio.AC3.iNT-NowYS.mkv,0,中国电影2_3T
245,邵氏,青春1000日, 698 MiB,716 * 448, 1h 32mn,1052 Kbps,无字幕或内嵌字幕,青春1000日.The.Pure.and.the.Evil.1982.R3.SB.DVDRip.x264.2Audio.AAC.iNT-NowYS.mkv,0,中国电影2_3T
246,邵氏,青蛙王子, 1.36 GiB,704 * 464, 1h 32mn,2118 Kbps,无字幕或内嵌字幕,青蛙王子.Prince.Charming.1984.R3.SB.DVDRip.x264.2Audio.AC3.iNT-NowYS.mkv,0,中国电影2_3T
247,邵氏,香江花月夜, 1.36 GiB,640 * 272, 2h 3mn,1582 Kbps,无字幕或内嵌字幕,香江花月夜.Hong.Kong.Nocturne.1967.R3.SB.DVDRip.x264.2Audio.AC3.iNT-NowYS.mkv,0,中国电影2_3T
