NO,category,Movie Name,File Size,Video Size,Video Length,Video Rate,Subtitle,File Name,filesize,disk
147,欧美系列,非常人贩【1.2.3】, 6.53 GiB,1280 * 546, 1h 43mn,8995 Kbps,外挂中英,非常人贩3.Transporter.1.2008.BluRay.720p.DTS.2Audio.x264-CHD.mkv,0,欧美系列1_2T
148,欧美系列,飓风营救【1.2.3】, 5.46 GiB,1280 * 536, 1h 55mn,6778 Kbps,外挂中英,Taken.3.2014.EXTENDED.720p.BluRay.x264-SPARKS.mkv,0,欧美系列1_2T
149,欧美系列,飓风营救【1.2.3】, 4.37 GiB,1280 * 544, 1h 33mn,6665 Kbps,外挂中英,chd-taken-dts-bdrip.mkv,0,欧美系列1_2T
150,欧美系列,飓风营救【1.2.3】, 5.20 GiB,1280 * 536, 1h 38mn,7566 Kbps,外挂中英,Taken.2.2012.Unrated.Extened.Cut.BluRay.720p.DTS.x264-CHD.mkv,0,欧美系列1_2T
151,欧美系列,饥饿游戏【1.2.3】, 5.48 GiB,1280 * 534, 2h 2mn,6387 Kbps,外挂中英,饥饿游戏3：嘲笑鸟(上) .Hunger.Games.Mockingjay.Part.1.2014.720p.BluRay.x264-WiKi.mkv,0,欧美系列1_2T
152,欧美系列,饥饿游戏【1.2.3】, 8.70 GiB,1280 * 534, 2h 22mn,8739 Kbps,外挂中英,The.Hunger.Games.2012.BluRay.720p.DTS.x264-CHD.mkv,0,欧美系列1_2T
153,欧美系列,饥饿游戏【1.2.3】, 6.58 GiB,1280 * 720, 2h 26mn,6446 Kbps,外挂中英,The.Hunger.Games.Catching.Fire.2013.BluRay.720p.x264.AC3-HDWinG.mkv,0,欧美系列1_2T
154,欧美系列,龙纹身的女孩-瑞典版【1.2.3】, 10.9 GiB,1280 * 720, 3h 5mn,8423 Kbps,外挂中文,The.Girl.Who.Kicked.the.Hornets.Nest.2009.Extended.BluRay.720p.DTS.x264-CHD.mkv,0,欧美系列1_2T
155,欧美系列,龙纹身的女孩-瑞典版【1.2.3】, 4.37 GiB,1280 * 720, 2h 9mn,4830 Kbps,外挂中英,The.Girl.Who.Played.With.Fire.2009.PROPER.720p.BluRay.x264-NODLABS [PublicHD].mkv,0,欧美系列1_2T
156,欧美系列,龙纹身的女孩-瑞典版【1.2.3】, 6.53 GiB,1280 * 544, 2h 32mn,6124 Kbps,外挂中英,The.Girl.with.the.Dragon.Tattoo.2009.BluRay.720p.DTSHD.x264-CHD.mkv,0,欧美系列1_2T
157,欧美系列,侏罗纪公园【1.2.3】, 8.71 GiB,1280 * 694, 2h 6mn,9851 Kbps,外挂中英,Jurassic.Park.1993.BluRay.720p.DTS.2Audio.x264-CHD.mkv,0,欧美系列1_2T
158,欧美系列,侏罗纪公园【1.2.3】, 7.92 GiB,1280 * 692, 2h 8mn,8810 Kbps,外挂中英,侏罗纪公园2：失落的世界.Jurassic.Park.2.The.Lost.World.1997.BluRay.720p.DTS.2Audio.x264-CHD.mkv,0,欧美系列1_2T
