NO,category,Movie Name,File Size,Video Size,Video Length,Video Rate,Subtitle,File Name,filesize,disk
468,中国系列,四大名捕【1.2.3】, 3.80 GiB,1280 * 720, 1h 57mn,4641 Kbps,无字幕或内嵌字幕,[四大名捕2(国粤)]The.Four.2.2013.BluRay.720p.x264.2Audio.AC3-CnSCG[中文字幕3.8G].mkv,0,中国系列1_2T
469,中国系列,四大名捕【1.2.3】, 3.18 GiB,1280 * 720, 2h 11mn,3462 Kbps,无字幕或内嵌字幕,四大名捕 The.Four.2012.720p.BluRay.x264.2Audio.AC3-CnSCG.mkv,0,中国系列1_2T
470,中国系列,大话西游【1.2】, 4.38 GiB,1280 * 720, 1h 28mn,7100 Kbps,无字幕或内嵌字幕,A.Chinese.Odyssey.Part.I.Pandoras.Box.1994.BluRay.720p.x264.DTS-WiKi.mkv,0,中国系列1_2T
471,中国系列,大话西游【1.2】, 4.37 GiB,1280 * 704, 1h 39mn,6279 Kbps,无字幕或内嵌字幕,A.Chinese.Odyssey.Part.II.Cinderella.1994.BluRay.720p.x264.DTS-WiKi.mkv,0,中国系列1_2T
472,中国系列,天若有情三部曲【1.2.3】, 1.36 GiB,720 * 368, 1h 28mn,2210 Kbps,无字幕或内嵌字幕,[天若有情1追梦人(国粤双语)].A.Moment.of.Romance.I.1990.DVDrip.x264.AC3.2Audios-CMCT.mkv,0,中国系列1_2T
473,中国系列,天若有情三部曲【1.2.3】, 1.36 GiB,720 * 400, 1h 28mn,2218 Kbps,无字幕或内嵌字幕,[天若有情2天长地久(国粤双语)].A.Moment.of.Romance.II.1992.DVDrip.x264.AC3.2Audios-CMCT.mkv,0,中国系列1_2T
474,中国系列,天若有情三部曲【1.2.3】, 1.36 GiB,720 * 304, 1h 35mn,2041 Kbps,无字幕或内嵌字幕,[天若有情3烽火佳人(国粤双语)].A.Moment.of.Romance.III.1997.DVDrip.x264.AC3.2Audios-CMCT.mkv,0,中国系列1_2T
475,中国系列,太平轮【1.2】, 2.76 GiB,1920 * 1072, 2h 6mn,3128 Kbps,无字幕或内嵌字幕,[太平轮·彼岸].The.Crossing.Part.2.2015.WEB-DL.1080p.x264.AAC-HQC.mkv,0,中国系列1_2T
476,中国系列,太平轮【1.2】, 3.80 GiB,1280 * 720, 2h 8mn,4246 Kbps,无字幕或内嵌字幕,[太平轮(上)].The.Crossing.Part.I.2014.BluRay.720p.x264.AC3-CMCT.mkv,0,中国系列1_2T
477,中国系列,富贵逼人【1.2.3】, 3.55 GiB,1280 * 720, 1h 33mn,5450 Kbps,无字幕或内嵌字幕,GDTV.It's.a.Mad.Mad.Mad.World.I.1987.720p.HDTV.x264-CMCTV.mkv,0,中国系列1_2T
478,中国系列,富贵逼人【1.2.3】, 3.54 GiB,1280 * 720, 1h 32mn,5451 Kbps,无字幕或内嵌字幕,Star-Movie.HD.It's.a.Mad.Mad.Mad.World.2.1988.720p.HDTV.x264-CMCTV.mkv,0,中国系列1_2T
479,中国系列,富贵逼人【1.2.3】, 3.48 GiB,1280 * 720, 1h 31mn,5451 Kbps,无字幕或内嵌字幕,Star-Movie.HD.It's.a.Mad.Mad.Mad.World.3.1989.720p.HDTV.x264-CMCTV.mkv,0,中国系列1_2T
480,中国系列,志明与春娇【1.2】, 2.45 GiB,1280 * 720, 1h 42mn,3418 Kbps,无字幕或内嵌字幕,[志明与春娇].Love.In.A.Puff.2010.BluRay.720p.x264.AC3.2Audios-CMCT.mkv,0,中国系列1_2T
481,中国系列,志明与春娇【1.2】, 3.00 GiB,1280 * 720, 1h 51mn,3851 Kbps,无字幕或内嵌字幕,[春娇与志明(国粤)].2012.BluRay.720p.x264.2Audio.AC3-CnSCG[中文字幕3G].mkv,0,中国系列1_2T
482,中国系列,战狼【1】, 2.81 GiB,1280 * 720, 1h 30mn,4460 Kbps,无字幕或内嵌字幕,[战狼].Wolf.Warriors.2015.BluRay.720p.x264.AC3-CMCT.mkv,0,中国系列1_2T
483,中国系列,新扎师妹【1.2.3.4】, 1.36 GiB,704 * 480, 1h 42mn,1905 Kbps,无字幕或内嵌字幕,1.mkv,0,中国系列1_2T
484,中国系列,新扎师妹【1.2.3.4】, 1.36 GiB,716 * 480, 1h 39mn,1955 Kbps,无字幕或内嵌字幕,2.mkv,0,中国系列1_2T
