No,分类,中文文件名,文件大小,画面尺寸,视频时长,视频码率,字幕,文件名称,文件字节数,磁盘
48,本机临时,预见未来, 4.36 GiB,1280 * 528, 1h 36mn,6494 Kbps,外挂中英|外挂中文,Next.2007.Blu-ray.720p.x264.DTS-CHD.mkv,0,本机
49,本机临时,不死劫, 4.37 GiB,1280 * 544, 1h 46mn,5856 Kbps,外挂中英,chd-unbreakable-dts-bdrip.mkv,0,本机
50,本机临时,以火攻火, 4.36 GiB,1280 * 536, 1h 37mn,6406 Kbps,外挂中英,Fire.With.Fire.2012.BluRay.720p.DTS.x264-CHD.mkv,0,本机
51,本机临时,低俗小说, 5.46 GiB,1280 * 544, 2h 34mn,5061 Kbps,外挂中英,Pulp.Fiction.1994.720p.BluRay.DTS.x264-ViGi.mkv,0,本机
52,本机临时,幸运数字斯莱文, 4.37 GiB,1280 * 536, 1h 49mn,5686 Kbps,外挂中文,幸运数字斯莱文.Lucky.Number.Slevin.2006.720p.HDDVD.x264-ESiR.mkv,0,本机
53,本机临时,拍档侦探, 5.50 GiB,1280 * 534, 1h 47mn,7327 Kbps,外挂中英,Cop.Out.2010.BluRay.720p.DTS.X264-CHD.mkv,0,本机
54,本机临时,火线对峙, 4.30 GiB,1280 * 544, 1h 53mn,5428 Kbps,未知字幕|外挂中文,火线对峙.Hostage.Blu-ray.RE.720.X264.DTS.MySilu.mkv,0,本机
55,本机临时,狙击职业杀手, 6.53 GiB,1280 * 544, 2h 4mn,7518 Kbps,外挂中英|外挂中文|未知字幕,狙击职业杀手.The.Jackal.1997.BluRay.720p.DTS.2Audio.x264-CHD.mkv,0,本机
56,本机临时,第44条军规, 3.96 GiB,1280 * 534, 1h 33mn,6046 Kbps,外挂中英,Catch.44.2011.BluRay.720P.AC3.X264-CHD.mkv,0,本机
57,本机临时,终极悍将, 4.37 GiB,1280 * 546, 1h 41mn,6189 Kbps,外挂中英,Last.Man.Standing.1996.BluRay.720P.DTS.x264-CHD.mkv,0,本机
58,本机临时,绝世天劫, 6.56 GiB,1280 * 528, 2h 30mn,6224 Kbps,外挂中英,Armageddon.1998.720p.BluRay.x264-AVS720 [PublicHD].mkv,0,本机
59,本机临时,赌场回忆录, 4.57 GiB,1280 * 720, 1h 33mn,6997 Kbps,外挂中英,Lay.the.Favorite.2012.720p.BluRay.x264.DTS-HDChina.mkv,0,本机
60,本机临时,阿尔法狗, 4.36 GiB,1280 * 528, 1h 57mn,5330 Kbps,外挂中文|未知字幕|外挂中英,阿尔法狗.Alpha.Dog.2006.Blu-ray.x264.720p.DTS-CHD.mkv,0,本机
61,本机临时,惊天魔盗团, 5.98 GiB,1280 * 534, 2h 4mn,6859 Kbps,外挂中英,惊天魔盗团.Now.You.See.Me.2013.EXTENDED.BluRay.720p.DTS.x264-CHD.mkv,0,本机
62,本机临时,超验骇客, 5.00 GiB,1280 * 534, 1h 59mn,6001 Kbps,外挂中英,Transcendence.2014.BluRay.720p.DTS.x264-CHD.mkv,0,本机
63,本机临时,一线声机, 4.36 GiB,1280 * 720, 1h 33mn,6637 Kbps,外挂中英,Cellular.2004.Bluray.720p.DTS.x264-CHD.mkv,0,本机
64,本机临时,乱战, 4.36 GiB,1280 * 544, 1h 46mn,5848 Kbps,外挂中英,Chaos.2005.Blu-ray.720p.DTS.x264-CHD.mkv,0,本机
65,本机临时,偷天换日, 4.37 GiB,1280 * 534, 1h 50mn,5655 Kbps,外挂中英,The Italian Job 2003.x264.720P.DTS.BDRiP-CHD.mkv,0,本机
66,本机临时,偷拐抢骗, 4.36 GiB,1280 * 694, 1h 42mn,6079 Kbps,外挂中英,Snatch.2000.BluRay.720p.DTS.x264-CHD.mkv,0,本机
67,本机临时,家园防线, 5.84 GiB,1280 * 534, 1h 40mn,8318 Kbps,外挂中英|未知字幕,Homefront.2013.BluRay.720p.x264.DTS-HDWinG.mkv,0,本机
