No,中文文件名,文件大小,画面尺寸,视频时长,视频码率,文件路径,文件Root,文件名称
78,红杏劫, 3.22 GiB,1920 * 1080, 1h 27mn,5243 Kbps,电影频道录制版(A-N),,红杏劫.無綫電影.mkv
79,红樱桃, 3.06 GiB,1280 * 720, 1h 51mn,3924 Kbps,电影频道录制版(A-N),,红樱桃.1995.HDTVRip.720P.x264.ac3.mkv
80,红河谷, 4.35 GiB,1280 * 692, 1h 44mn,5988 Kbps,电影频道录制版(A-N),,红河谷.CCTV6.Grief.Over.The.Yellow.1999.720p.HDTV.x264-NGB.mkv
81,美丽的大脚, 4.37 GiB,1280 * 720, 1h 37mn,6388 Kbps,电影频道录制版(A-N),,美丽的大脚.CCTV6.Pretty.Big.Feet.2002.720p.HDTV.x264-NGB.mkv
82,翠岗红旗, 1.84 GiB,1160 * 720, 1h 36mn,2747 Kbps,电影频道录制版(A-N),,翠岗红旗.CCTV6 HDTV 720P.mkv
83,翻身, 4.36 GiB,1280 * 688, 1h 30mn,6868 Kbps,电影频道录制版(A-N),,翻身.CCTV6.Turn.Over.2002.720p.HDTV.x264-NGB.mkv
84,老井, 1.56 GiB,1280 * 720, 2h 3mn,1809 Kbps,电影频道录制版(A-N),,老井.1986 西影 CCTV6高清 720P.mkv
85,背靠背脸对脸, 6.34 GiB,1280 * 720, 2h 20mn,6449 Kbps,电影频道录制版(A-N),,背靠背脸对脸.1994.CCTV6.HDTV.720p.x264-CHDTV.mkv
86,草莽英雄, 2.86 GiB,1250 * 720, 1h 39mn,4123 Kbps,电影频道录制版(A-N),,草莽英雄.1986.CCTV6.mkv
87,董存瑞, 2.98 GiB,1280 * 720, 1h 38mn,4332 Kbps,电影频道录制版(A-N),,董存瑞.1955.CCTV6.mkv
88,蓝盾保险箱, 3.27 GiB,1694 * 1068, 1h 27mn,5341 Kbps,电影频道录制版(A-N),,蓝盾保险箱.1983 南京 CCTV6高清 1080P.mkv
89,虎兄豹弟, 2.55 GiB,1242 * 720, 1h 24mn,4328 Kbps,电影频道录制版(A-N),,虎兄豹弟.1993.HDTVRip.720P.x264.ac3.mkv
90,被告山杠爷, 3.92 GiB,1920 * 1054, 1h 43mn,5441 Kbps,电影频道录制版(A-N),,被告山杠爷.1994.CCTV6.HDTV.1080P.峨眉.mkv
91,警察有约, 4.41 GiB,1280 * 720, 1h 37mn,6450 Kbps,电影频道录制版(A-N),,警察有约.CCTV6.The.Law.Of.Romance.2003.HDTV.720p.x264-CHDTV.mkv
92,过年, 4.37 GiB,1280 * 720, 1h 40mn,6213 Kbps,电影频道录制版(A-N),,过年.The Spring Festival.1991.HDTVRip.720p.x264.AC3.jyt.mkv
93,过江龙, 2.96 GiB,1280 * 720, 1h 26mn,4880 Kbps,电影频道录制版(A-N),,过江龙.【1970】CCTV6.mp4
94,金元大劫案, 2.19 GiB,1280 * 710, 1h 34mn,3313 Kbps,电影频道录制版(A-N),,金元大劫案.1990 上影 CCTV6高清版.mkv
95,金沟情仇记, 4.37 GiB,1280 * 720, 1h 28mn,7073 Kbps,电影频道录制版(A-N),,金沟情仇记.CHC.Jin.Gou.Qing.Chou.Ji.2006.720p.HDTV.x264-NGB.mkv
96,锦上添花, 2.74 GiB,1920 * 1080, 1h 9mn,5621 Kbps,电影频道录制版(A-N),,锦上添花.mkv
97,阿夏河的秘密, 3.15 GiB,720 * 480, 1h 23mn,5383 Kbps,电影频道录制版(A-N),,阿夏河的秘密.(上影1976).mkv
98,阿诗玛, 4.37 GiB,1280 * 720, 1h 25mn,7309 Kbps,电影频道录制版(A-N),,阿诗玛.1964 CCTV6HD.mkv
99,阿金的故事, 2.62 GiB,1234 * 720, 1h 26mn,4344 Kbps,电影频道录制版(A-N),,阿金的故事.1996.HDTVRip.720P.x264.ac3.mkv
100,阿龙浴血记, 2.72 GiB,1218 * 720, 1h 30mn,4312 Kbps,电影频道录制版(A-N),,阿龙浴血记.1986.HDTVRip.720P.x264.ac3.mkv
101,雷锋, 3.03 GiB,1280 * 720, 1h 17mn,5625 Kbps,电影频道录制版(A-N),,雷锋.【1964】CCTV6.HDTV.720P.X264.AAC.mp4
102,非法持枪者, 3.64 GiB,1920 * 1078, 1h 27mn,5954 Kbps,电影频道录制版(A-N),,非法持枪者.1989 峨影CCTV6高清 1080P.mkv
103,飞虎队, 2.03 GiB,1280 * 720, 1h 35mn,3057 Kbps,电影频道录制版(A-N),,飞虎队.1995.Fei.Hu.Dui.1995.CCTV6高清.720p.mkv
104,鬼城谍变, 3.57 GiB,1280 * 720, 1h 25mn,5947 Kbps,电影频道录制版(A-N),,鬼城谍变.2004.CCTV6.720p.HDTV.x264 NGB.mkv
105,鬼太监, 4.20 GiB,1280 * 720, 1h 34mn,6386 Kbps,电影频道录制版(A-N),,鬼太监.【1971】CCTV6.HDTV.720p.x264-CHDTV.mkv
106,鸡毛信, 1.21 GiB,1280 * 720, 1h 15mn,2299 Kbps,电影频道录制版(A-N),,鸡毛信.【1954】CCTV6.720p.mkv
107,黄河大侠, 4.33 GiB,1280 * 720, 1h 28mn,6976 Kbps,电影频道录制版(A-N),,黄河大侠.【1988】CCTV6.HDTV.720P.mkv
108,黑雪, 2.70 GiB,1280 * 720, 1h 33mn,4129 Kbps,电影频道录制版(A-N),,黑雪.1992.HDTVRip.720P.x264.ac3.mkv
