No,中文文件名,文件大小,画面尺寸,视频时长,视频码率,文件路径,文件Root,文件名称
140,都市红尘, 322 MiB,720 * 448, 1h 35mn,473 Kbps,A-G,,都市红尘.flv
141,都市里的村庄, 682 MiB,720 * 336, 1h 45mn,903 Kbps,A-G,,都市里的村庄.flv
142,鄂尔多斯风暴, 622 MiB,1280 * 962, 1h 26mn,1008 Kbps,A-G,,鄂尔多斯风暴.flv
143,钢铁战士, 324 MiB,720 * 576, 1h 35mn,473 Kbps,A-G,,钢铁战士.flv
144,镖王, 713 MiB,1280 * 828, 1h 38mn,1012 Kbps,A-G,,镖王.flv
145,长城大决战, 513 MiB,720 * 448, 1h 22mn,873 Kbps,A-G,,长城大决战.flv
146,闯入者, 574 MiB,720 * 448, 1h 29mn,902 Kbps,A-G,,闯入者.flv
147,阿佤山, 624 MiB,1280 * 548, 1h 36mn,902 Kbps,A-G,,阿佤山.flv
148,阿妹的诺言, 324 MiB,720 * 448, 1h 35mn,473 Kbps,A-G,,阿妹的诺言.flv
149,阿娜尔罕, 700 MiB,1280 * 984, 1h 36mn,1012 Kbps,A-G,,阿娜尔罕.flv
150,阿曼尼萨罕, 633 MiB,720 * 448, 1h 38mn,903 Kbps,A-G,,阿曼尼萨罕.flv
151,非完美交易, 610 MiB,1280 * 576, 1h 34mn,904 Kbps,A-G,,非完美交易.flv
152,非常营救, 548 MiB,1280 * 548, 1h 24mn,902 Kbps,A-G,,非常营救.flv
153,风尘三千里, 583 MiB,720 * 448, 1h 31mn,892 Kbps,A-G,,风尘三千里.flv
154,风流乾隆, 549 MiB,720 * 448, 1h 25mn,892 Kbps,A-G,,风流乾隆.flv
155,风流女杰, 605 MiB,1280 * 714, 1h 23mn,1012 Kbps,A-G,,风流女杰.flv
156,风流局长, 321 MiB,720 * 448, 1h 34mn,473 Kbps,A-G,,风流局长.flv
157,风雨里程, 707 MiB,720 * 576, 1h 49mn,902 Kbps,A-G,,风雨里程.flv
158,飞天神鼠, 654 MiB,1920 * 1080, 1h 41mn,903 Kbps,A-G,,飞天神鼠.flv
159,飞天蜈蚣, 607 MiB,1280 * 710, 1h 24mn,1009 Kbps,A-G,,飞天蜈蚣.flv
160,飞虎队, 622 MiB,1280 * 720, 1h 36mn,903 Kbps,A-G,,飞虎队.flv
161,飞虎队谍战, 606 MiB,1280 * 720, 1h 37mn,873 Kbps,A-G,,飞虎队谍战.flv
162,飞越危情, 592 MiB,1280 * 714, 1h 22mn,1008 Kbps,A-G,,飞越危情.flv
163,飞越天险, 569 MiB,720 * 576, 1h 28mn,902 Kbps,A-G,,飞越天险.flv
164,饭局也疯狂, 607 MiB,1280 * 544, 1h 25mn,992 Kbps,A-G,,饭局也疯狂.flv
165,高中锋矮教练, 303 MiB,720 * 576, 1h 29mn,473 Kbps,A-G,,高中锋矮教练.flv
166,高朋满座, 298 MiB,720 * 448, 1h 27mn,473 Kbps,A-G,,高朋满座.flv
167,鬼仙沟, 570 MiB,1280 * 720, 1h 28mn,903 Kbps,A-G,,鬼仙沟.flv
168,鬼城凶梦, 338 MiB,720 * 336, 1h 39mn,473 Kbps,A-G,,鬼城凶梦.flv
169,鬼城谍变, 628 MiB,1280 * 692, 1h 26mn,1010 Kbps,A-G,,鬼城谍变.flv
170,鬼妹, 557 MiB,720 * 448, 1h 26mn,902 Kbps,A-G,,鬼妹.flv
171,两个人的战争, 381 MiB,720 * 448, 1h 52mn,473 Kbps,H-N,,两个人的战争.flv
172,两个小八路, 687 MiB,1280 * 996, 1h 35mn,1011 Kbps,H-N,,两个小八路.flv
173,两个小足球队, 499 MiB,720 * 576, 1h 17mn,903 Kbps,H-N,,两个小足球队.flv
174,两个巡逻兵, 559 MiB,720 * 576, 1h 26mn,902 Kbps,H-N,,两个巡逻兵.flv
175,两代人, 531 MiB,720 * 576, 1h 22mn,900 Kbps,H-N,,两代人.flv
176,买房, 609 MiB,1920 * 1080, 1h 34mn,903 Kbps,H-N,,买房.flv
177,乱世瓢丐, 524 MiB,720 * 448, 1h 22mn,891 Kbps,H-N,,乱世瓢丐.flv
178,乱世英雄乱世情, 615 MiB,1280 * 606, 1h 25mn,1004 Kbps,H-N,,乱世英雄乱世情.flv
179,京城劫盗, 619 MiB,720 * 448, 1h 35mn,903 Kbps,H-N,,京城劫盗.flv
180,今夜星光灿烂, 691 MiB,1280 * 962, 1h 35mn,1009 Kbps,H-N,,今夜星光灿烂.flv
181,今天我休息, 369 MiB,720 * 576, 1h 27mn,591 Kbps,H-N,,今天我休息.flv
182,俊俏媳妇开明婆, 581 MiB,1280 * 720, 1h 29mn,903 Kbps,H-N,,俊俏媳妇开明婆.flv
183,倔公公犟媳妇, 679 MiB,1280 * 856, 1h 34mn,1004 Kbps,H-N,,倔公公犟媳妇.flv
184,假大侠, 644 MiB,1280 * 738, 1h 28mn,1011 Kbps,H-N,,假大侠.flv
185,假如美丽不再, 644 MiB,1280 * 714, 1h 30mn,999 Kbps,H-N,,假如美丽不再.flv
186,冒险的美国女人, 645 MiB,1280 * 764, 1h 29mn,1010 Kbps,H-N,,冒险的美国女人.flv
187,军事禁区, 640 MiB,1280 * 714, 1h 29mn,1002 Kbps,H-N,,军事禁区.flv
188,军列杀出重围, 614 MiB,1280 * 714, 1h 25mn,1001 Kbps,H-N,,军列杀出重围.flv
189,军统特遣队, 589 MiB,1280 * 732, 1h 21mn,1006 Kbps,H-N,,军统特遣队.flv
