No,中文文件名,文件大小,画面尺寸,视频时长,视频码率,文件路径,文件Root,文件名称
65,神偷燕子李三, 739 MiB,656 * 480, 1h 36mn,1066 Kbps,神偷燕子李三,,神偷燕子李三.mkv
66,神探马如龙, 1.48 GiB,852 * 480, 1h 31mn,2316 Kbps,神探马如龙.inspector.pink.dragon.1991.proper.DVD.NFYL,,南方娱乐（bbs.nfyl.net).神探马如龙.inspector.pink.dragon.1991.proper.DVD.NFYL.mkv
67,缘份有Take2, 1.38 GiB,864 * 464, 1h 37mn,2032 Kbps,缘份有Take2.Love Correction.2000.HK.DVDRip.x264.2Audio.AC3,,缘份有Take2.Love Correction.2000.HK.DVDRip.x264.2Audio.AC3.mkv
68,群莺乱舞, 878 MiB,864 * 464, 1h 28mn,1393 Kbps,群莺乱舞,,群莺乱舞.mkv
69,耳朵大有福, 488 MiB,704 * 384, 1h 36mn,695 Kbps,耳朵大有福.Lucky.Dog.2008,,Lucky.Dog.2008.CN.DVDRip.rmvb
70,臭屁王, 1.37 GiB,720 * 416, 1h 28mn,2214 Kbps,臭屁王.Trouble.Maker.1995.DVDrip.x264.AC3-CMCT,,臭屁王.Trouble.Maker.1995.DVDrip.x264.AC3-CMCT.mkv
71,芳香之旅, 698 MiB,560 * 336, 1h 54mn,854 Kbps,芳香之旅.The·Road·2006·DVDRip,,芳香之旅·The·Road·2006·DVDRip.avi
72,英雄正传, 1.40 GiB,696 * 464, 1h 25mn,2340 Kbps,英雄正传.True.Colours.1986.DVDRip.X264-KEN,,英雄正传.True.Colours.1986.DVDRip.X264-KEN.mkv
73,落叶归根, 700 MiB,688 * 384, 54mn 17s,1804 Kbps,落叶归根.Getting.Home.2007.DVDRip.XviD.AC3,,[落叶归根].Getting.Home.2007.DVDRip.XviD.AC3.CD1-MrCJ.avi
74,落叶归根, 701 MiB,688 * 384, 54mn 57s,1783 Kbps,落叶归根.Getting.Home.2007.DVDRip.XviD.AC3,,[落叶归根].Getting.Home.2007.DVDRip.XviD.AC3.CD2-MrCJ.avi
75,蓝色霹雳火, 1.36 GiB,852 * 480, 1h 31mn,2137 Kbps,蓝色霹雳火.1991.Blue Lightning.DVDRip.X264.AAC-NFYL,,蓝色霹雳火1991.Blue Lightning.DVDRip.X264.AAC-NFYL.mkv
76,蝎子战士, 2.40 GiB,1024 * 576, 1h 35mn,3577 Kbps,蝎子战士.Operation.Scorpio.1992.R2.HK.DVDRip.X264.2AC3-NFYL,,南方娱乐（bbs.nfyl.net).蠍子戰士Operation.Scorpio.1992.R2.HK.DVDRip.X264.2AC3-NFYL.mkv
