No,中文文件名,文件大小,画面尺寸,视频时长,视频码率,文件路径,文件Root,文件名称
39,哗!英雄, 2.76 GiB,1280 * 690, 1h 35mn,4118 Kbps,哗!英雄.What.A.Hero.1992.HDTV.720p.x264.AC3-CMCT,,[哗!英雄].What.A.Hero.1992.HDTV.720p.x264.AC3-CMCT.mkv
40,墨攻, 3.60 GiB,1280 * 720, 2h 13mn,3867 Kbps,墨攻.Muk.Gong.2006.BluRay.720p.x264.AC3-CMCT,,[墨攻(国粤双语)].Muk.Gong.2006.BluRay.720p.x264.AC3-CMCT.mkv
41,天下无贼, 2.05 GiB,1280 * 720, 1h 55mn,2531 Kbps,天下无贼.A.World.Without.Thieves.2004.720p.HDTV.x264.AC3-CNXP,,天下无贼.A.World.Without.Thieves.2004.720p.HDTV.x264.AC3-CNXP.mkv
42,天与地, 1.88 GiB,1280 * 536, 2h 21mn,1892 Kbps,天与地.Heaven.and.Earth.1993.720p.BluRay,,【飘域家园】天与地.Heaven.and.Earth.1993.720p.BluRay.rmvb
43,天地雄心, 3.60 GiB,1280 * 720, 1h 52mn,4591 Kbps,天地雄心.Armageddon.1997.BluRay.720p.x264.2Audio.AC3-CnSCG,,[天地雄心(国粤)]Armageddon.1997.BluRay.720p.x264.2Audio.AC3-CnSCG[中文字幕3.6G].mkv
44,天机·富春山居图, 2.99 GiB,1280 * 720, 2h 2mn,3494 Kbps,天机·富春山居图.Switch.2013.720p.BluRay.x264.AC3-CNXP,,天机·富春山居图.Switch.2013.720p.BluRay.x264.AC3-CNXP.mkv
45,失孤, 3.20 GiB,1280 * 720, 1h 48mn,4241 Kbps,失孤.Lost.And.Love.2015.BluRay.720p.x264.AC3-CMCT,,[失孤].Lost.And.Love.2015.BluRay.720p.x264.AC3-CMCT.mkv
46,孤男寡女, 2.80 GiB,1280 * 720, 1h 44mn,3841 Kbps,孤男寡女.Needing.You.2000.BluRay.720p.x264.AC3-CMCT,,[孤男寡女(国粤双语)].Needing.You.2000.BluRay.720p.x264.AC3-CMCT.mkv
47,富贵兵团, 1.36 GiB,720 * 400, 1h 29mn,2174 Kbps,富贵兵团.The.Fortune.Code.1989.DVDrip.x264.AC3.2Audios-CMCT,,[富贵兵团(国粤双语)].The.Fortune.Code.1989.DVDrip.x264.AC3.2Audios-CMCT.mkv
48,寒战, 2.49 GiB,1280 * 720, 1h 41mn,3497 Kbps,寒战.Cold.War.2012.720p.BluRay.x264.AC3-CNXP,,寒战.Cold.War.2012.720p.BluRay.x264.AC3-CNXP.mkv
49,川岛芳子, 3.54 GiB,1280 * 690, 1h 49mn,4620 Kbps,川岛芳子.Kawashima.Yoshiko.1990.BluRay.720p.x264.AC3.2Audios-CMCT,,[川岛芳子].Kawashima.Yoshiko.1990.BluRay.720p.x264.AC3.2Audios-CMCT.mkv
50,庙街十二少, 1.47 GiB,720 * 408, 1h 34mn,2215 Kbps,庙街十二少.Prince Of Temple ST（1992）,,庙街十二少.Prince Of Temple ST（1992）.mkv
51,我知女人心, 4.36 GiB,1280 * 544, 1h 56mn,5368 Kbps,我知女人心.What.Women.Want.2011.BluRay.720p.AC3.2Audio.x264-CHD,,What.Women.Want.2011.BluRay.720p.AC3.2Audio.x264-CHD.mkv
52,战神传说, 1.40 GiB,848 * 480, 1h 26mn,2303 Kbps,战神传说.Moon.Warriors.1993.DVDRip.x264.AC3-CMCT,,[战神传说(国粤双语)]Moon.Warriors.1993.DVDRip.x264.AC3-CMCT.mkv
53,投名状, 2.99 GiB,1264 * 720, 2h 5mn,3408 Kbps,投名状.The.Warlords.2007.PROPER.720p.BluRay.x264,,投名状.The.Warlords.2007.PROPER.720p.BluRay.x264.mkv
54,投奔怒海, 1.40 GiB,720 * 384, 1h 44mn,1921 Kbps,投奔怒海.Boat.People.1982.DVDRip.X264.AC3-ken861222.chs,,[投奔怒海].Boat.People.1982.DVDRip.X264.AC3-ken861222.mkv
55,摩登如来神掌, 2.00 GiB,1280 * 720, 1h 38mn,2924 Kbps,摩登如来神掌.Kung.Fu.vs.Acrobatic.1991.720p.HDTV.x264.AC3-CMCT,,[摩登如来神掌].Kung.Fu.vs.Acrobatic.1991.720p.HDTV.x264.AC3-CMCT.mkv
56,新上海滩, 4.37 GiB,1280 * 720, 1h 35mn,6530 Kbps,新上海滩.Shanghai.Grand.1996.720p.BluRay.x264-WiKi,,Shanghai.Grand.1996.720p.BluRay.x264-WiKi.mkv
57,旺角卡門, 2.80 GiB,1280 * 720, 1h 38mn,4055 Kbps,旺角卡門.As.Tears.Go.By.1988.BluRay.720p.x264.2Audio.AC3-CnSCG,,1988 [旺角卡門]As Tears Go By.1988.BluRay.720p.x264.2Audio.AC3-CnSCG[中字2.8G].mkv
58,未来警察, 4.37 GiB,1280 * 582, 1h 38mn,6358 Kbps,未来警察.Future.X-Cops.2010.Bluray.720p.DTS.x264-CHD,,Future.X-Cops.2010.Bluray.720p.DTS.x264-CHD.mkv
59,机Boy小子之真假威龙, 1.36 GiB,640 * 352, 1h 35mn,2045 Kbps,机Boy小子之真假威龙.Gameboy.Kids.1992.2Audio.DVDRip.XviD.AC3.iNT-HKDY,,机Boy小子之真假威龙.Gameboy.Kids.1992.2Audio.DVDRip.XviD.AC3.iNT-HKDY.avi
60,杀手之王, 2.80 GiB,1280 * 688, 1h 44mn,3837 Kbps,杀手之王.Hitman.1998.BluRay.720p.x264.AC3.2Audios-CMCT,,杀手之王.Hitman.1998.BluRay.720p.x264.AC3.2Audios-CMCT.mkv
61,杀手的童话, 697 MiB,608 * 352, 1h 32mn,1059 Kbps,杀手的童话.A.Taste.of.Killing.and.Romance.1994.2Audio.DVDRip.X264.AAC.iNT-HKDY,,[杀手的童话].A.Taste.of.Killing.and.Romance.1994.2Audio.DVDRip.X264.AAC.iNT-HKDY.mkv
62,桃姐, 5.50 GiB,1280 * 690, 1h 58mn,6656 Kbps,桃姐.A.Simple.Life.2012.BluRay.720p.AC3.2Audio.x264-CHD,,A.Simple.Life.2012.BluRay.720p.AC3.2Audio.x264-CHD.mkv
63,爱人同志, 2.03 GiB,1280 * 720, 1h 39mn,2910 Kbps,爱人同志.Roses.International.1989.美亚HDTV,,爱人同志.Roses.International.1989.美亚HDTV.mkv
64,狱中龙, 2.40 GiB,1024 * 560, 1h 42mn,3369 Kbps,狱中龙.Dragon.in.Jail.1990.R3.HK.DVDRip.X264.2AC3-Jackie,,狱中龙.Dragon.in.Jail.1990.R3.HK.DVDRip.X264.2AC3-Jackie.mkv
65,猎鹰计划, 2.05 GiB,852 * 480, 1h 44mn,2810 Kbps,猎鹰计划.Walk.On.Fire.1988.DVDRiP.x264.2Audio-nfyl.刘德华,,[猎鹰计划].Walk.On.Fire.1988.DVDRiP.x264.2Audio-nfyl.mkv
66,瘦身男女, 2.40 GiB,1280 * 722, 1h 35mn,3612 Kbps,瘦身男女.Love.on.a.Diet.2001.BluRay.720p.x264.AC3-CMCT,,[瘦身男女(国粤双语)].Love.on.a.Diet.2001.BluRay.720p.x264.AC3-CMCT.mkv
67,盲探, 5.50 GiB,1280 * 536, 2h 9mn,6080 Kbps,盲探.Blind.Detective.2013.BluRay.720p.AC3.2Adudio.x264-CHD,,Blind.Detective.2013.BluRay.720p.AC3.2Adudio.x264-CHD.mkv
68,神探父子兵, 1.49 GiB,720 * 480, 1h 29mn,2386 Kbps,神探父子兵.In.the.Blood.1988.HK.DVDRip.x264.OriAudio.AC3.By_OLAY,,[神探父子兵].In.the.Blood.1988.HK.DVDRip.x264.OriAudio.AC3.By_OLAY.mkv
69,神行太保, 1.06 GiB,1280 * 720, 1h 24mn,1782 Kbps,神行太保.720p.HD,,神行太保.720p.HD国语中字.mp4
70,绝代双骄, 2.12 GiB,720 * 384, 1h 38mn,3075 Kbps,绝代双骄.Handsome.Siblings.1992.DVDRip.X264.AAC-ken861222,,[绝代双骄].Handsome.Siblings.1992.DVDRip.X264.AAC-ken861222.mkv
71,群龙夺宝, 1.17 GiB,704 * 420, 1h 24mn,1979 Kbps,群龙夺宝.Three.Against.the.World.1988.2Audio.DVDRip.X264.AAC.iNT-HKDY,,群龙夺宝.Three Against The World.mkv
72,至尊计状元才, 1.51 GiB,1280 * 720, 1h 47mn,2002 Kbps,至尊计状元才.1990.BD720P.国粤双语中字,,至尊计状元才.1990.BD720P.国粤双语中字.mkv
