NO,cagegory,Movie Name,File Size,Video Size,Video Length,Video Rate,Subtitle,File Name,filesize,disk
55,电影频道录制版,敏感事件, 4.37 GiB,1280 * 688, 1h 27mn,7186 Kbps,无字幕或内嵌字幕,敏感事件.CCTV6.Case.Sensitive.2011.HDTV.720p.x264-NGB.mkv,0,中国电影2
56,电影频道录制版,斗牛, 2.60 GiB,1280 * 720, 1h 44mn,3562 Kbps,无字幕或内嵌字幕,斗牛.Cow.2009.HDTV.720p.x264.AC3-CnSCG.mkv,0,中国电影2
57,电影频道录制版,断刀客, 4.67 GiB,1920 * 1080, 1h 37mn,6870 Kbps,无字幕或内嵌字幕,断刀客.1995 天山 香港 (赵文卓熊欣欣)武侠动作.ts,0,中国电影2
58,电影频道录制版,断喉剑, 3.01 GiB,1250 * 720, 1h 39mn,4315 Kbps,无字幕或内嵌字幕,断喉剑.1988.HDTVRip.720P.x264.ac3.mkv,0,中国电影2
59,电影频道录制版,暖春, 3.15 GiB,1280 * 720, 1h 22mn,5450 Kbps,无字幕或内嵌字幕,暖春.2003.720p.HDTV.x264-CMCTV.mkv,0,中国电影2
60,电影频道录制版,暴风骤雨, 5.70 GiB,1920 * 1080, 1h 47mn,7580 Kbps,无字幕或内嵌字幕,暴风骤雨.1961.CCTV6HDTV.1080i.ts,0,中国电影2
61,电影频道录制版,曹操, 2.71 GiB,1280 * 706, 1h 30mn,4310 Kbps,无字幕或内嵌字幕,曹操.1996.CCTV6.mkv,0,中国电影2
62,电影频道录制版,木棉袈裟, 4.52 GiB,1920 * 1080, 1h 29mn,7220 Kbps,无字幕或内嵌字幕,木棉袈裟.1984.CCTV6.mp4,0,中国电影2
63,电影频道录制版,本命年, 3.26 GiB,1280 * 720, 1h 37mn,4767 Kbps,无字幕或内嵌字幕,本命年.cctv6.720P.mkv,0,中国电影2
64,电影频道录制版,李双双, 4.37 GiB,1760 * 1080, 1h 35mn,6568 Kbps,无字幕或内嵌字幕,李双双.1962.mkv,0,中国电影2
65,电影频道录制版,李时珍, 2.73 GiB,1152 * 720, 1h 42mn,3825 Kbps,无字幕或内嵌字幕,李时珍.1956.720.mkv,0,中国电影2
66,电影频道录制版,杜十娘, 6.63 GiB,1920 * 1080, 2h 5mn,7544 Kbps,无字幕或内嵌字幕,杜十娘.1981.ts,0,中国电影2
67,电影频道录制版,横空出世, 5.18 GiB,1912 * 1072, 1h 48mn,6839 Kbps,无字幕或内嵌字幕,横空出世.CCTV6HD.Roaring.Across.The.Horizon.1999.HDTV.1080p.H264.AC3.mkv,0,中国电影2
68,电影频道录制版,江湖八面风, 4.09 GiB,1920 * 1080, 1h 26mn,6784 Kbps,无字幕或内嵌字幕,江湖八面风.1991 青影 CCTV6高清版.ts,0,中国电影2
69,电影频道录制版,没事偷着乐, 2.05 GiB,1280 * 720, 1h 45mn,2775 Kbps,无字幕或内嵌字幕,没事偷着乐.mkv,0,中国电影2
70,电影频道录制版,洪福齐天, 4.92 GiB,1920 * 1080, 1h 29mn,7885 Kbps,无字幕或内嵌字幕,洪福齐天.1991 香港 东方电影频道高清.mkv,0,中国电影2
71,电影频道录制版,浮城谜事, 3.46 GiB,1280 * 720, 1h 37mn,5066 Kbps,无字幕或内嵌字幕,浮城谜事.Mystery.2012.720p.HDTV.x264.AC3-xiabd.mkv,0,中国电影2
72,电影频道录制版,海鸥飞处, 5.34 GiB,1920 * 1088, 1h 41mn,7554 Kbps,无字幕或内嵌字幕,海鸥飞处.1974.CCTV6HD.1080i.CN.ts,0,中国电影2
73,电影频道录制版,混在北京, 4.37 GiB,1280 * 720, 1h 38mn,6359 Kbps,无字幕或内嵌字幕,混在北京.【1995】CCTV6.720p.HDTV.x264-NGB.mkv,0,中国电影2
74,电影频道录制版,渡江侦察记, 4.37 GiB,960 * 720, 1h 44mn,5968 Kbps,无字幕或内嵌字幕,渡江侦察记.Reconnaissance Across The Yangtze.1954.HDTV.720p.XviD.mp3.jyt.avi,0,中国电影2
75,电影频道录制版,滴水观音, 3.64 GiB,720 * 480, 1h 35mn,5446 Kbps,无字幕或内嵌字幕,滴水观音.1984年.彩色.mkv,0,中国电影2
76,电影频道录制版,灵异异灵, 2.77 GiB,1280 * 720, 1h 36mn,4113 Kbps,无字幕或内嵌字幕,灵异异灵.1080P.星卫HDTVRIP.国语中字.mkv,0,中国电影2
77,电影频道录制版,烈火金刚, 7.67 GiB,1280 * 720, 2h 50mn,6450 Kbps,无字幕或内嵌字幕,烈火金刚.Steel.Meets.Fire.1991.HDTV.720p.x264-CHDTV.mkv,0,中国电影2
78,电影频道录制版,爱君如梦, 3.66 GiB,1280 * 720, 1h 34mn,5558 Kbps,无字幕或内嵌字幕,爱君如梦.ts,0,中国电影2
79,电影频道录制版,爱情麻辣烫, 1.94 GiB,1280 * 720, 1h 45mn,2645 Kbps,无字幕或内嵌字幕,爱情麻辣烫.Spicy.Love.Soup.1997.720p.HDTV.x264.AC3-CMCT.mkv,0,中国电影2
80,电影频道录制版,爱有来生, 1.80 GiB,1280 * 548, 1h 31mn,2796 Kbps,无字幕或内嵌字幕,爱有来生.Eternal Beloved 2009 720p.HDTV.x264-CnSCG.mkv,0,中国电影2
81,电影频道录制版,父子老爷车, 4.63 GiB,1280 * 720, 1h 23mn,7896 Kbps,无字幕或内嵌字幕,父子老爷车.1990 CCTV6.720p.HDTV.x264 NGB 4.6G .mkv,0,中国电影2
82,电影频道录制版,狼烟, 2.53 GiB,1280 * 710, 1h 23mn,4344 Kbps,无字幕或内嵌字幕,狼烟.1990.HDTVR ip.720P.x264.ac3.mkv,0,中国电影2
83,电影频道录制版,狼牙山五壮士, 2.44 GiB,1280 * 720, 1h 20mn,4330 Kbps,无字幕或内嵌字幕,狼牙山五壮士.（八一1958）CCTV6.HDTV.720P.AC3.mkv,0,中国电影2
84,电影频道录制版,猎字99号, 2.05 GiB,1088 * 480, 1h 46mn,2746 Kbps,无字幕或内嵌字幕,猎字99号.【1978】CCTV6.mkv,0,中国电影2
85,电影频道录制版,甲午大海战, 4.37 GiB,1280 * 544, 1h 57mn,5305 Kbps,无字幕或内嵌字幕,甲午大海战.2012.HDTV.720p.x264.AC3-HD.mkv,0,中国电影2
86,电影频道录制版,男妇女主任, 1.40 GiB,1280 * 694, 1h 26mn,2331 Kbps,无字幕或内嵌字幕,男妇女主任.CCTV6.Nan.Fu.Nv.Zhu.Ren.1998.HDTV.iPad.720p.AAC.x264-CHDPAD.mp4,0,中国电影2
87,电影频道录制版,白莲花, 4.37 GiB,1280 * 720, 1h 41mn,6158 Kbps,无字幕或内嵌字幕,白莲花.1980.CCTV6.HDTV.720P.H264.AC3.mkv,0,中国电影2
88,电影频道录制版,盗马贼, 3.92 GiB,1920 * 1080, 1h 21mn,6854 Kbps,无字幕或内嵌字幕,盗马贼.1988.CCTV6.ts,0,中国电影2
89,电影频道录制版,离婚了就别再来找我, 4.37 GiB,1280 * 720, 1h 33mn,6660 Kbps,无字幕或内嵌字幕,离婚了就别再来找我.1996.CCTV6.mkv,0,中国电影2
90,电影频道录制版,秘密, 3.25 GiB,1280 * 704, 1h 34mn,4947 Kbps,无字幕或内嵌字幕,秘密.CHC.Mystery.2005.HDTV.720p.x264-CHDTV.mkv,0,中国电影2
91,电影频道录制版,秘密大追杀, 2.71 GiB,1280 * 708, 1h 29mn,4332 Kbps,无字幕或内嵌字幕,秘密大追杀.1995.CCTV6.mkv,0,中国电影2
92,电影频道录制版,第一书记, 3.90 GiB,1280 * 720, 1h 52mn,4949 Kbps,无字幕或内嵌字幕,第一书记.2010.CCTV6.mkv,0,中国电影2
93,电影频道录制版,红杏劫, 3.22 GiB,1920 * 1080, 1h 27mn,5243 Kbps,无字幕或内嵌字幕,红杏劫.無綫電影.mkv,0,中国电影2
